Fecha	Variedad	Cama	Planta	Organo	Cantidad
2021-02-16	VU	3	1	Frutos	2
2021-02-16	VU	3	2	Flores	7
2021-02-16	VU	3	2	Frutos	4
2021-02-16	VU	3	3	Flores	3
2021-02-16	VU	3	3	Frutos	2
2021-02-16	VU	3	4	Flores	4
2021-02-16	VU	3	4	Frutos	3
2021-02-16	VU	3	5	Flores	12
2021-02-16	VU	3	5	Frutos	2
2021-02-16	VU	3	6	Flores	8
2021-02-16	VU	3	6	Frutos	5
2021-02-16	CA	4	1	Flores	8
2021-02-16	CA	4	1	Frutos	3
2021-02-16	CA	4	2	Flores	5
2021-02-16	CA	4	2	Frutos	3
2021-02-16	CA	4	3	Flores	4
2021-02-16	CA	4	3	Frutos	4
2021-02-16	CA	4	4	Flores	6
2021-02-16	CA	4	4	Frutos	2
2021-02-16	CA	4	5	Flores	6
2021-02-16	CA	4	5	Frutos	2
2021-02-16	CA	4	6	Flores	7
2021-02-16	CA	4	6	Frutos	2
2021-02-16	KI	5	1	Flores	8
2021-02-16	KI	5	1	Frutos	7
2021-02-16	KI	5	2	Flores	8
2021-02-16	KI	5	2	Frutos	4
2021-02-16	KI	5	3	Flores	13
2021-02-16	KI	5	3	Frutos	0
2021-02-16	KI	5	4	Flores	8
2021-02-16	KI	5	4	Frutos	6
2021-02-16	KI	5	5	Flores	9
2021-02-16	KI	5	5	Frutos	3
2021-02-16	KI	5	6	Flores	2
2021-02-16	KI	5	6	Frutos	6
2021-02-16	GU	6	1	Flores	2
2021-02-16	GU	6	1	Frutos	4
2021-02-16	GU	6	2	Flores	4
2021-02-16	GU	6	2	Frutos	3
2021-02-16	GU	6	3	Flores	8
2021-02-16	GU	6	3	Frutos	3
2021-02-16	GU	6	4	Flores	2
2021-02-16	GU	6	4	Frutos	5
2021-02-16	GU	6	5	Flores	4
2021-02-16	GU	6	5	Frutos	3
2021-02-16	GU	6	6	Flores	3
2021-02-16	GU	6	6	Frutos	3
2021-02-22	TA	1	1	Flores	9
2021-02-22	TA	1	1	Frutos	9
2021-02-22	TA	1	2	Flores	9
2021-02-22	TA	1	2	Frutos	4
2021-02-22	TA	1	3	Flores	6
2021-02-22	TA	1	3	Frutos	5
2021-02-22	TA	1	4	Flores	6
2021-02-22	TA	1	4	Frutos	5
2021-02-22	TA	1	5	Flores	8
2021-02-22	TA	1	5	Frutos	6
2021-02-22	TA	1	6	Flores	14
2021-02-22	TA	1	6	Frutos	2
2021-02-22	WI	2	1	Flores	0
2021-02-22	WI	2	1	Frutos	0
